cpg_id,drift_per_year,drift_per_month,r_squared,n_samples
cg00075967,-0.00099907885,-8.325657083e-05,0.052918,164
cg00091693,-0.0007623109922,-6.352591602e-05,0.093918,164
cg00168942,-0.001278091595,-0.0001065076329,0.093108,164
cg00374717,-1.739043413e-05,-1.449202844e-06,0.000191,164
cg00431549,-0.0007093614341,-5.911345285e-05,0.031576,164
cg00436603,0.0008652525381,7.210437818e-05,0.029431,164
cg00864867,0.000238826011,1.990216759e-05,0.053299,164
cg00945507,0.0006372817536,5.31068128e-05,0.005133,164
cg01027739,0.0003751196842,3.125997368e-05,0.045595,164
cg01027805,7.811645024e-05,6.509704187e-06,0.013351,164
cg01234063,3.921049905e-05,3.267541587e-06,0.001944,164
cg01262913,0.0001131243627,9.427030228e-06,0.007821,164
cg01353448,0.000437434875,3.645290625e-05,0.005639,164
cg01407797,-5.41857742e-06,-4.515481183e-07,0.000032,164
cg01459453,-0.001612405939,-0.0001343671616,0.104364,164
cg01485645,-0.0001338576056,-1.115480047e-05,0.011173,164
cg01511567,-0.0007972446352,-6.643705293e-05,0.119044,164
cg01560871,-0.001568674767,-0.0001307228973,0.155806,164
cg01570885,-7.454487547e-05,-6.212072956e-06,0.001752,164
cg01584473,-0.0001548967728,-1.29080644e-05,0.012867,164
cg01644850,0.0001960766151,1.633971792e-05,0.091501,164
cg01656216,-0.0002101135667,-1.750946389e-05,0.006876,164
cg01820374,-0.001426481092,-0.0001188734243,0.284677,164
cg01873645,1.401207052e-05,1.167672543e-06,0.000775,164
cg01968178,0.0004461280047,3.717733372e-05,0.043376,164
cg02047577,-1.813034252e-05,-1.510861876e-06,0.009445,164
cg02071305,-0.00057306119,-4.775509917e-05,0.048534,164
cg02085507,0.0002953057556,2.460881297e-05,0.001781,164
cg02154074,-3.333699686e-05,-2.778083072e-06,0.000144,164
cg02217159,0.0001955421276,1.62951773e-05,0.004574,164
cg02275294,-2.863702795e-05,-2.386418996e-06,0.000248,164
cg02331561,0.0001167710139,9.730917821e-06,0.013903,164
cg02332492,-0.0003367289875,-2.806074896e-05,0.043998,164
cg02335441,-5.856648189e-05,-4.880540157e-06,0.003508,164
cg02364642,-0.0003953314224,-3.29442852e-05,0.022462,164
cg02388150,0.001219684214,0.0001016403512,0.086456,164
cg02479575,0.0004290184849,3.57515404e-05,0.076806,164
cg02489552,0.0009541308459,7.951090382e-05,0.027243,164
cg02580606,-0.0003852897228,-3.21074769e-05,0.064108,164
cg02654291,0.0008186012552,6.821677127e-05,0.042100,164
cg02827112,0.0001328557511,1.107131259e-05,0.007554,164
cg02972551,4.013374937e-05,3.344479114e-06,0.006973,164
cg03019000,-0.0004688795673,-3.907329727e-05,0.019136,164
cg03103192,0.0005486406271,4.572005226e-05,0.007662,164
cg03167275,0.000136845613,1.140380108e-05,0.016067,164
cg03270204,-0.0003898655045,-3.248879204e-05,0.046539,164
cg03286783,0.0001237026598,1.030855499e-05,0.022121,164
cg03330058,-0.001012305329,-8.435877741e-05,0.060882,164
cg03565323,-0.0004768401884,-3.973668236e-05,0.021689,164
cg03578041,-0.0007923783188,-6.603152657e-05,0.045096,164
cg03588357,1.168788779e-05,9.739906492e-07,0.000347,164
cg03682823,0.0001293555842,1.077963201e-05,0.008752,164
cg03760483,-0.0001804723819,-1.503936516e-05,0.000754,164
cg03891319,-0.0002818068487,-2.348390406e-05,0.142890,164
cg03947362,3.669193793e-05,3.057661494e-06,0.003888,164
cg04005032,-8.070483271e-05,-6.725402726e-06,0.008150,164
cg04084157,0.0008650459891,7.208716576e-05,0.214931,164
cg04094160,-4.161148293e-05,-3.467623577e-06,0.003638,164
cg04121983,-5.127319227e-05,-4.272766023e-06,0.000600,164
cg04126866,0.0001871687659,1.559739716e-05,0.010250,164
cg04268405,3.263732475e-05,2.719777063e-06,0.001250,164
cg04431054,-0.0005167046069,-4.305871724e-05,0.010409,164
cg04452713,-0.0001577583743,-1.314653119e-05,0.006175,164
cg04474832,-0.001079010932,-8.991757764e-05,0.257152,164
cg04528819,0.001026385771,8.553214762e-05,0.150856,164
cg04836038,0.001179671485,9.830595704e-05,0.118570,164
cg04999691,-7.620118061e-06,-6.350098384e-07,0.000013,164
cg05250458,0.00108577058,9.048088171e-05,0.033405,164
cg05294243,0.0009568622632,7.973852193e-05,0.092329,164
cg05365729,-0.0001252115433,-1.043429528e-05,0.001225,164
cg05442902,-0.0005955444734,-4.962870612e-05,0.151042,164
cg05590257,-0.0002936203721,-2.446836434e-05,0.001220,164
cg05675373,0.0004654879868,3.879066556e-05,0.025796,164
cg05755779,0.0002071603296,1.72633608e-05,0.003731,164
cg05847778,1.608843821e-05,1.340703184e-06,0.000820,164
cg05903609,-0.0001425432963,-1.187860803e-05,0.018830,164
cg05921699,-0.0001935035276,-1.612529396e-05,0.010868,164
cg05960024,3.657537403e-05,3.047947836e-06,0.001958,164
cg06044899,0.0004043655077,3.369712564e-05,0.034649,164
cg06117855,-0.0002579987648,-2.149989707e-05,0.011630,164
cg06121469,5.122813389e-05,4.269011158e-06,0.010774,164
cg06144905,0.0001385809669,1.154841391e-05,0.001271,164
cg06361108,0.000168937523,1.407812692e-05,0.041680,164
cg06462291,0.0001326726923,1.10560577e-05,0.006416,164
cg06493994,0.001322617591,0.0001102181326,0.337961,164
cg06513075,3.55380033e-05,2.961500275e-06,0.002724,164
cg06557358,5.353198671e-05,4.460998892e-06,0.004889,164
cg06688848,-1.624882841e-05,-1.354069034e-06,0.001262,164
cg06738602,-0.0001694282712,-1.41190226e-05,0.002738,164
cg06810647,0.0004963259251,4.136049376e-05,0.011450,164
cg06836772,-0.0003087599497,-2.572999581e-05,0.015794,164
cg06926735,9.092090123e-06,7.576741769e-07,0.000309,164
cg06952310,6.910645759e-05,5.758871466e-06,0.000099,164
cg06993413,-4.14751475e-05,-3.456262291e-06,0.001538,164
cg07158339,-0.001885026895,-0.0001570855746,0.173782,164
cg07285276,-0.0004034928631,-3.362440526e-05,0.018496,164
cg07291563,1.194210956e-05,9.951757967e-07,0.000402,164
